item_type_id,item_name,image_url,rarity_level,focus_cost_min,description
20,Our Decoration,https://example.com/images/our_decoration.png,common,387,Executive store bed leg
14,Focus Structure,https://example.com/images/focus_structure.png,common,75,Wait follow the community nation resource test
4,Push Bush,https://example.com/images/push_bush.png,common,274,Drop number use sense building number almost drug
22,Themselves Light Fixture,https://example.com/images/themselves_light_fixture.png,common,128,Laugh as clear strong
23,Court Vehicle,https://example.com/images/court_vehicle.png,common,391,Line section body
6,Carry Water Feature,https://example.com/images/carry_water_feature.png,common,243,Power in reason everything
25,Thank Other,https://example.com/images/thank_other.png,common,100,Today figure certain building
22,Step Light Fixture,https://example.com/images/step_light_fixture.png,common,472,Statement situation by in letter none program both
18,Blue Pathway,https://example.com/images/blue_pathway.png,common,142,All southern seven young enter area
17,Age Floor,https://example.com/images/age_floor.png,common,222,Less look through shake produce interest site
3,Who Tree,https://example.com/images/who_tree.png,common,287,What travel take season
5,Maybe Rock,https://example.com/images/maybe_rock.png,rare,370,Sport need former plan occur avoid hand
17,Understand Floor,https://example.com/images/understand_floor.png,rare,278,Heart effort my movie think score indicate smile
15,Lawyer Bridge,https://example.com/images/lawyer_bridge.png,common,369,Area movie fear job prepare picture
8,Machine Pet,https://example.com/images/machine_pet.png,common,156,Some report group fire yes
9,Design Bird,https://example.com/images/design_bird.png,common,194,Where fast system serious though report
11,Spend House,https://example.com/images/spend_house.png,common,127,Whatever west enough
25,Front Other,https://example.com/images/front_other.png,rare,89,Same resource sell score yard at
16,Wonder Tower,https://example.com/images/wonder_tower.png,rare,201,Policy likely check response
14,Now Structure,https://example.com/images/now_structure.png,common,236,Well thus force return fish
19,Happen Furniture,https://example.com/images/happen_furniture.png,common,131,Available condition card health other forget check
13,May Building,https://example.com/images/may_building.png,rare,65,Clear establish art reveal return
16,Tonight Tower,https://example.com/images/tonight_tower.png,rare,344,Work early entire sell
22,Forward Light Fixture,https://example.com/images/forward_light_fixture.png,epic,404,Lose require friend her
13,Feel Building,https://example.com/images/feel_building.png,epic,63,Father hope outside some itself hair true method
13,We Building,https://example.com/images/we_building.png,epic,212,Continue although without
12,Economic Apartment,https://example.com/images/economic_apartment.png,common,479,Thought someone very red similar bank
22,Community Light Fixture,https://example.com/images/community_light_fixture.png,common,73,Future town mind team green common
3,Force Tree,https://example.com/images/force_tree.png,common,283,Change executive bit rock skill blue
12,Address Apartment,https://example.com/images/address_apartment.png,common,482,Son without arrive choose radio game
4,But Bush,https://example.com/images/but_bush.png,common,474,Visit firm never music
7,Action Animal,https://example.com/images/action_animal.png,common,116,Authority some theory father become
6,State Water Feature,https://example.com/images/state_water_feature.png,rare,440,Truth bring him himself natural
3,Dark Tree,https://example.com/images/dark_tree.png,common,107,Land ago give personal sit
12,Receive Apartment,https://example.com/images/receive_apartment.png,rare,381,Very that available bar
25,Radio Other,https://example.com/images/radio_other.png,common,110,Action turn dog follow
4,Myself Bush,https://example.com/images/myself_bush.png,common,148,Keep nation such light tree
21,Husband Wall Ornament,https://example.com/images/husband_wall_ornament.png,legendary,367,Less sport adult indicate someone chair unit
